,男性,女性,無回答,合計,標本数
全体,52.7,46.5,0.8,100,"12,797"
韓国,62.8,35.8,1.5,100,"1,917"
台湾,48.3,51.6,0.1,100,"1,819"
中国,47.2,52.5,0.3,100,"2,561"
香港,49.2,49.8,1.0,100,926
タイ,38.5,58.8,2.7,100,742
シンガポール,54.0,44.0,2.0,100,330
マレーシア,48.0,51.4,0.6,100,278
米国,61.8,36.8,1.5,100,"1,211"
カナダ,63.2,36.5,0.3,100,272
英国,65.2,33.9,1.0,100,300
ドイツ,71.6,28.0,0.4,100,196
フランス,67.6,31.9,0.4,100,264
イタリア,62.4,35.5,2.1,100,196
スペイン,66.2,32.6,1.2,100,208
オーストラリア,61.5,37.7,0.9,100,424
インド,81.4,18.0,0.6,100,173
インドネシア,53.3,45.9,0.8,100,323
フィリピン,41.5,58.2,0.3,100,293
ベトナム,55.9,42.0,2.0,100,190
ロシア,53.7,44.7,1.6,100,164
その他,63.9,36.1,0.0,100,10
