,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（郡内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体,63.0,75.2,15.7,14.0,1.9,6.4,22.6,0.7,0.5,0.7,2.1,2.4,1.9,0.8,207.9,"12,797"
韓国,55.7,75.0,25.0,3.7,0.1,4.8,23.1,0.6,0.7,0.5,3.4,1.9,1.4,0.4,196.3,"1,917"
台湾,65.7,78.3,9.1,20.3,1.8,6.2,10.5,0.6,0.4,0.8,1.3,1.3,1.2,0.8,198.4,"1,819"
中国,62.0,67.7,12.8,24.8,1.6,6.4,21.3,0.6,0.2,0.5,1.7,2.9,2.4,0.9,205.8,"2,561"
香港,72.8,85.7,13.8,5.9,1.9,4.6,17.1,0.4,0.4,0.8,0.8,4.2,0.7,0.9,210.1,926
タイ,45.9,72.1,19.5,11.1,7.4,1.7,18.7,1.3,0.6,1.2,4.2,7.9,3.0,1.7,196.2,742
シンガポール,63.5,84.7,26.7,4.6,3.1,5.1,27.2,0.6,0.0,0.0,0.5,2.6,0.9,0.0,219.5,330
マレーシア,67.2,65.4,6.9,15.9,2.1,5.8,20.2,0.0,0.0,0.0,1.8,2.0,1.8,1.4,190.5,278
米国,70.7,81.8,16.2,3.6,3.5,9.2,42.8,1.4,0.9,0.8,3.0,0.8,2.7,0.5,237.8,"1,211"
カナダ,77.1,85.4,13.6,3.2,1.8,11.1,30.3,1.5,1.4,1.7,1.5,1.3,1.0,0.3,231.1,272
英国,78.8,83.3,14.4,2.7,0.3,10.5,46.2,0.7,1.8,1.5,3.4,1.8,2.1,0.3,247.7,300
ドイツ,79.2,87.5,11.1,2.6,2.2,6.6,25.9,0.5,1.4,0.6,2.2,0.0,3.7,0.6,224.0,196
フランス,80.5,87.8,16.1,2.3,1.8,14.1,25.1,1.5,1.9,2.8,0.7,1.4,1.4,1.9,239.4,264
イタリア,81.2,84.4,12.8,2.2,2.6,7.7,32.9,3.3,0.0,0.3,1.5,1.8,0.8,0.5,231.9,196
スペイン,78.1,89.7,11.2,3.6,1.9,10.4,21.1,2.5,0.5,0.5,0.0,1.6,1.7,0.5,223.4,208
オーストラリア,68.1,82.8,12.4,8.8,4.3,8.0,35.3,1.6,1.4,1.7,1.4,2.2,3.0,0.5,231.4,424
インド,56.7,76.4,21.8,6.8,3.6,5.2,40.8,1.8,0.6,1.7,1.2,1.2,4.0,0.6,222.3,173
インドネシア,60.9,81.7,11.5,10.4,4.9,8.0,26.0,0.0,0.6,0.3,2.3,3.8,1.3,0.8,212.5,323
フィリピン,58.8,77.7,16.1,5.2,3.7,8.1,30.8,0.3,0.3,0.9,7.1,1.3,5.1,1.0,216.4,293
ベトナム,40.2,57.1,18.9,19.4,2.4,4.3,21.8,0.6,1.6,4.9,5.3,3.2,4.3,2.7,186.7,190
ロシア,76.9,79.5,13.3,2.2,1.1,6.1,23.1,3.1,1.6,2.2,7.1,0.0,1.3,0.5,218.1,164
その他,70.8,86.1,30.5,0.0,0.0,16.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.1,10
