,全体,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
日本食を楽しむ,91.1,84.8,91.0,91.7,96.2,92.2,94.2,95.4,95.1,95.8,95.5,94.4,94.5,92.1,93.9,94.3,71.0,93.6,93.5,86.2,90.5,93.1
日本食以外の料理を楽しむ,23.7,11.7,21.8,21.9,25.7,21.3,32.0,28.8,44.4,43.8,49.6,33.3,24.5,33.0,29.8,54.2,34.4,33.9,35.4,22.0,15.0,26.4
電気製品のショッピング,19.3,8.0,25.6,27.9,16.6,12.3,11.9,10.9,7.7,10.2,10.6,14.1,13.7,19.3,14.4,13.1,33.4,18.0,17.9,29.0,18.4,13.9
服・服飾雑貨のショッピング,52.0,31.2,55.3,56.3,62.7,58.9,65.4,53.3,47.3,51.1,42.5,41.6,50.0,40.0,48.3,49.2,40.7,69.3,62.0,54.5,50.9,73.6
日用雑貨等のショッピング,64.0,41.7,73.6,79.9,71.2,69.0,69.6,58.4,42.2,41.8,50.2,35.4,42.8,41.5,46.7,53.7,31.6,65.6,57.1,62.9,56.4,36.1
その他のショッピング,34.0,25.8,34.9,34.0,36.2,42.2,48.8,42.0,40.5,38.5,39.3,38.2,43.8,45.5,46.4,38.6,26.1,36.8,32.9,27.0,31.2,26.4
伝統文化の見学,7.7,4.3,3.8,9.3,5.3,8.8,3.9,3.5,11.6,13.2,14.5,12.7,28.4,18.5,29.2,13.6,5.9,8.6,5.5,10.3,18.5,12.6
伝統文化の体験,6.6,1.9,2.4,5.0,4.7,9.4,8.4,6.0,20.0,17.4,18.8,22.5,19.7,19.0,28.2,19.4,15.7,7.4,9.9,9.5,11.8,16.7
伝統建築の見学,48.8,22.2,53.0,52.8,44.2,53.8,53.7,53.4,65.2,72.5,68.3,64.9,78.2,67.1,83.1,74.0,51.9,64.7,64.3,54.4,57.8,37.4
最新の日本文化に触れる,17.3,14.8,14.1,15.5,13.9,14.7,16.0,12.4,31.8,36.8,30.5,29.5,37.2,18.9,34.9,34.9,12.4,19.6,16.1,12.9,26.9,23.6
高層ビル等の探索,56.8,37.3,59.3,58.6,50.9,53.9,61.1,69.9,68.7,70.3,70.5,65.3,77.3,73.2,79.1,79.2,62.8,75.6,72.0,58.7,76.2,68.0
美術館・博物館の探索,18.1,12.6,16.3,14.1,14.6,18.3,16.4,11.1,30.0,33.5,35.9,36.2,41.0,34.1,35.9,39.8,18.6,19.4,16.9,9.8,33.7,52.8
水辺などの探索,15.5,14.0,19.1,9.3,14.7,20.2,16.5,13.1,24.7,26.7,29.2,29.7,32.1,25.8,41.9,25.9,23.0,29.2,26.9,21.6,41.2,0.0
自然を感じる,19.8,8.8,24.1,16.7,19.8,26.3,23.5,17.2,29.7,36.0,37.4,33.4,43.5,33.7,30.8,42.6,15.6,30.7,25.5,18.8,25.0,16.7
テーマパーク、レジャー施設で遊ぶ,11.1,10.0,12.3,7.5,13.7,14.1,15.9,11.4,12.7,14.7,16.4,10.1,17.5,16.0,13.4,22.7,12.5,17.8,16.8,6.7,24.6,12.6
室内型アミューズメント施設で遊ぶ,7.7,5.6,5.7,3.1,7.8,7.2,11.3,5.2,19.4,21.9,23.1,20.3,32.7,16.1,27.6,31.7,6.4,6.3,10.3,3.1,16.2,16.7
スポーツをする・観戦する,1.8,1.8,1.4,0.9,1.2,1.4,2.8,0.5,4.9,7.6,6.3,3.9,6.8,4.7,5.0,6.4,2.4,0.9,1.9,1.5,4.8,0.0
スパ・エステ,3.4,5.9,1.4,1.6,3.1,3.7,3.9,3.0,7.0,7.3,10.8,9.3,12.2,9.6,14.4,7.0,3.5,2.1,4.9,0.9,9.1,0.0
宿泊施設での滞在を楽しむ,36.6,18.6,52.4,43.3,51.5,20.6,30.9,34.0,29.8,33.3,34.8,25.4,25.1,21.0,30.6,50.4,33.6,26.9,25.7,12.4,30.2,13.9
ナイトライフを楽しむ,17.2,8.6,14.8,13.5,16.8,18.8,19.2,19.1,34.9,37.1,44.3,36.2,42.0,42.7,39.6,47.0,21.3,28.0,22.1,16.0,10.2,23.6
夜景・ライトアップを楽しむ,17.9,17.1,16.9,14.6,17.9,15.5,20.5,26.6,26.8,27.9,36.0,30.6,32.2,40.0,43.8,31.9,20.1,27.4,22.1,16.2,40.4,0.0
その他,12.8,20.3,8.9,12.8,9.0,6.4,11.2,16.5,15.3,10.6,19.2,16.7,12.1,13.2,10.2,10.9,19.2,9.9,8.3,11.4,8.6,6.9
無回答,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.6,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0
標本数,12797,1917,1819,2561,926,742,330,278,1211,272,300,196,264,196,208,424,173,323,293,190,164,10
