,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,原宿・表参道・青山,渋谷,六本木・赤坂,新宿・大久保,恵比寿・代官山,池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,お台場・東京湾,吉祥寺・三鷹,立川,八王子・高尾山,青梅・御岳山,奥多摩,伊豆諸島・小笠原諸島,その他,無回答,標本数
全体,34.4,37.6,52,13.6,31.9,43.4,19.9,53.8,5.7,19.5,34.7,43.7,6.1,10.4,12.6,1.6,23,3.8,1.3,1.9,0.5,0.5,0.8,3.7,0.1,"12,797"
韓国,31.8,27.0,37.2,7.4,32.1,42.1,23.9,50.9,7.8,13.1,25.1,25.9,2.5,11.6,9.6,1.2,26.9,3.0,0.8,0.6,0.1,0.2,0.2,4.4,0.1,"1,917"
台湾,41.0,34.9,36.5,15.8,32.6,31.1,15.6,44.6,5.9,19.8,51.6,52.6,9.5,10.3,9.9,1.4,31.6,8.8,1.7,3.2,0.4,0.6,1.4,4.1,0.0,"1,819"
中国,31.2,41.4,71.5,9.4,25.5,30.0,14.1,51.2,5.3,21.5,28.2,49.0,4.2,7.9,12.3,1.8,15.9,3.2,0.8,2.1,0.3,0.3,1.1,3.3,0.0,"2,561"
香港,36.4,32.9,45.6,22.2,35.9,41.6,15.3,60.9,5.2,32.0,40.7,39.3,7.4,8.7,8.1,1.4,25.8,4.2,1.3,2.6,1.0,0.5,1.5,5.3,0.0,926
タイ,30.0,30.0,33.6,24.0,29.9,61.7,11.9,66.5,3.3,14.3,55.3,49.5,5.0,5.6,8.9,2.6,21.0,1.5,3.2,1.7,2.1,1.1,0.5,1.6,0.2,742
シンガポール,38.7,37.9,51.5,22.3,41.8,66.8,21.3,75.5,6.6,19.9,31.4,40.4,4.0,7.3,16.2,2.1,22.2,3.9,1.6,2.5,1.0,0.0,0.4,2.6,0.0,330
マレーシア,33.3,40.5,52.9,17.3,33.3,50.5,14.9,51.7,1.4,12.3,46.9,46.8,6.9,7.7,7.4,0.5,14.9,3.0,1.7,1.3,0.0,0.0,0.0,1.6,0.5,278
米国,39.9,40.6,46.4,16.1,36.0,64.4,32.3,59.2,7.7,13.5,26.9,40.1,9.2,9.9,21.3,2.3,20.8,2.2,3.1,1.6,0.7,0.4,0.3,5.2,0.2,"1,211"
カナダ,46.2,48.4,49.2,18.7,41.2,76.1,28.5,65.5,3.5,21.3,37.6,49.5,10.9,14.1,18.6,2.9,22.2,4.8,1.4,2.9,0.8,1.5,0.7,3.9,0.0,272
英国,44.8,42.6,47.0,11.8,35.4,66.9,39.3,63.9,7.7,17.4,35.5,43.1,12.2,19.5,21.1,1.7,27.0,3.1,2.1,1.8,1.9,1.3,0.3,3.8,0.6,300
ドイツ,42.0,53.4,49.7,16.4,37.3,72.2,37.9,58.5,6.6,24.3,46.4,54.5,13.9,12.6,23.3,1.2,27.6,2.7,1.6,2.6,0.0,0.4,0.0,6.6,0.4,196
フランス,47.0,63.7,52.5,10.4,51.8,80.9,38.5,72.4,16.0,31.7,53.8,66.7,20.2,23.2,20.9,1.9,33.4,4.3,1.2,3.0,0.7,0.8,1.6,6.4,0.0,264
イタリア,40.5,63.2,66.9,22.8,42.7,74.7,41.8,65.9,9.9,23.8,54.6,58.9,13.4,23.4,16.6,0.8,32.9,4.3,1.9,0.3,0.3,1.0,0.0,3.8,0.0,196
スペイン,46.0,73.0,66.3,25.4,45.1,84.1,33.6,73.1,8.8,24.6,60.8,69.9,17.9,25.3,25.5,1.0,43.3,0.5,1.0,2.6,1.2,0.5,0.7,2.9,1.2,208
オーストラリア,50.5,41.8,48.2,10.4,45.8,72.6,27.0,69.6,5.3,14.6,26.9,40.2,8.4,14.7,20.6,0.7,18.8,2.8,0.9,0.9,0.8,0.9,0.3,3.8,0.0,424
インド,34.9,45.3,40.9,8.5,19.1,44.3,26.9,40.5,3.0,8.2,25.7,39.4,12.7,13.2,24.4,2.3,26.5,1.1,2.9,2.8,1.1,1.7,1.2,8.2,0.0,173
インドネシア,42.8,42.7,56.4,13.3,51.5,79.2,21.1,58.3,4.2,20.4,41.3,55.1,8.2,8.6,15.5,5.2,24.6,0.5,2.1,0.8,0.2,0.8,0.0,3.0,0.0,323
フィリピン,28.2,42.2,39.4,12.1,32.4,75.5,22.6,59.5,3.5,13.4,41.9,49.0,12.1,8.9,11.2,2.6,30.1,0.8,3.0,1.6,0.0,0.4,0.0,3.8,0.0,293
ベトナム,27.4,40.7,49.2,4.8,12.2,38.2,8.1,37.4,1.6,12.1,21.5,40.3,8.8,7.8,11.2,1.7,22.9,1.1,3.2,2.2,2.2,0.5,0.5,0.6,1.1,190
ロシア,32.3,56.5,68.7,10.5,26.8,70.9,27.1,37.3,2.4,8.7,42.6,47.8,5.6,13.6,16.5,0.0,40.1,0.8,2.4,1.3,1.1,2.1,2.8,2.5,0.8,164
その他,12.6,50.0,74.9,40.2,54.1,80.5,54.1,68.0,0.0,30.5,19.5,30.5,0.0,29.2,30.5,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
