,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,原宿・表参道・青山,渋谷,六本木・赤坂,新宿・大久保,恵比寿・代官山,池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,お台場・東京湾,吉祥寺・三鷹,立川,八王子・高尾山,青梅・御岳山,奥多摩,伊豆諸島・小笠原諸島,その他,標本数
全体,5.1,8.9,15.2,1.5,6.9,8.2,3.2,13.7,1.1,2.7,6.5,11.3,1.2,1.6,1.5,0.2,7.5,1.1,0.3,0.6,0.0,0.1,0.3,1.2,"12,863"
韓国,5.8,8.5,9.8,0.7,8.5,10.4,5.2,15.4,2.1,2.6,4.7,7.4,0.3,1.5,2.2,0.1,11.2,1.2,0.2,0.1,0.0,0.0,0.1,2.0,"2,256"
台湾,6.8,6.5,6.6,1.3,6.4,5.0,2.1,8.6,1.4,2.8,11.9,16.6,2.8,1.2,1.5,0.1,11.6,2.2,0.7,1.6,0.1,0.1,0.8,1.2,"2,052"
中国,4.3,9.6,28.2,0.7,6.4,3.7,2.9,13.0,1.1,3.2,4.5,11.2,0.6,1.4,1.1,0.3,5.0,0.9,0.1,0.5,0.0,0.2,0.2,0.9,"4,046"
香港,6.1,9.3,9.8,3.6,6.9,6.7,2.1,15.5,0.9,4.7,6.6,9.5,1.3,1.1,1.5,0.0,9.5,1.1,0.8,1.0,0.0,0.3,0.9,0.9,981
タイ,4.8,3.9,5.4,4.2,5.8,13.8,1.5,17.6,0.4,1.6,15.8,14.7,1.0,0.3,0.7,0.2,6.3,0.1,0.8,0.4,0.3,0.0,0.0,0.4,543
シンガポール,3.8,8.5,13.5,4.3,10.9,11.7,2.3,18.6,0.0,1.9,4.9,9.3,0.3,0.0,2.2,0.0,4.7,1.4,0.0,0.8,0.0,0.0,0.0,1.0,207
マレーシア,4.5,12.1,12.1,4.9,9.2,8.9,1.2,16.1,0.0,1.1,6.9,11.0,1.2,1.5,1.5,0.0,5.0,2.0,0.0,0.9,0.0,0.0,0.0,0.0,214
米国,5.4,10.3,10.6,2.3,8.6,13.7,7.2,13.2,1.2,1.5,3.5,10.6,1.3,1.1,2.1,0.1,4.1,0.5,0.4,0.5,0.0,0.0,0.0,1.8,608
カナダ,4.5,10.2,7.5,2.4,5.0,19.6,3.7,16.3,1.5,2.3,4.1,9.4,1.5,0.4,2.8,0.0,4.7,0.8,0.0,0.4,0.0,0.7,0.0,2.3,152
英国,4.6,7.5,8.6,0.7,5.0,17.8,6.7,14.7,1.7,2.4,8.8,8.7,1.2,2.4,2.3,0.0,2.8,1.3,0.0,0.5,0.3,0.3,0.0,1.7,177
ドイツ,4.4,10.1,7.3,1.8,3.7,13.7,4.7,10.7,0.0,2.3,5.9,14.5,4.3,1.4,2.5,0.0,7.8,1.3,0.0,1.2,0.0,0.0,0.0,2.6,88
フランス,1.2,16.8,4.9,2.1,5.4,13.8,4.6,12.9,0.8,3.5,5.2,17.9,1.7,0.4,0.5,0.0,2.2,0.9,0.0,0.4,0.0,0.5,0.9,3.4,125
イタリア,4.3,12.0,11.0,1.1,4.2,10.4,3.9,14.9,1.5,1.7,7.8,16.0,1.2,0.7,0.7,0.0,5.4,1.2,0.0,0.0,0.0,0.0,0.0,2.0,65
スペイン,4.2,18.0,4.8,3.4,4.8,15.2,2.6,12.4,0.0,1.8,7.9,15.3,1.1,0.3,0.5,0.0,6.4,0.0,0.0,0.3,0.0,0.0,0.0,1.1,56
オーストラリア,3.1,8.4,7.2,1.8,6.7,17.5,3.9,26.9,0.3,2.4,3.9,8.3,2.0,0.9,1.1,0.0,3.1,0.8,0.3,0.0,0.0,0.0,0.3,1.2,255
インド,5.3,17.5,9.8,0.0,2.5,10.6,4.6,9.8,0.0,1.3,3.4,8.7,1.3,1.3,7.4,0.7,10.4,0.0,0.7,0.0,0.6,0.0,0.7,3.4,64
インドネシア,5.3,6.5,12.9,1.4,8.4,16.8,3.2,12.7,0.0,2.2,5.9,16.9,0.5,0.0,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.5,0.0,0.3,160
フィリピン,3.8,9.7,6.2,1.5,4.1,26.7,3.2,12.5,0.0,1.1,7.6,10.3,2.3,0.3,0.3,0.8,7.5,0.5,0.3,1.0,0.0,0.0,0.0,0.3,223
ベトナム,6.5,11.0,19.0,0.6,3.1,9.3,0.0,10.3,0.0,0.8,4.4,13.9,2.1,0.0,0.8,0.0,15.1,0.0,0.8,1.6,0.0,0.0,0.0,0.8,177
ロシア,2.4,12.2,18.8,1.1,1.2,19.0,3.0,3.2,0.0,0.0,5.3,10.0,0.0,0.0,2.4,0.0,18.9,0.0,0.0,0.0,1.2,0.5,0.0,0.6,42
その他,0.0,12.8,12.8,0.0,12.8,12.8,0.0,25.6,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371
