,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,原宿・表参道・青山,渋谷,六本木・赤坂,新宿・大久保,恵比寿・代官山,池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,お台場・東京湾,吉祥寺・三鷹,立川,八王子・高尾山,青梅・御岳山,奥多摩,伊豆諸島・小笠原諸島,その他
日本食を楽しむ,30.8,6.1,14.7,81.8,7.8,17.6,19.1,17.4,18.6,16.6,15.7,5.6,2.8,43.7,22.6,42.0,5.9,12.0,13.0,5.5,0.0,0.0,0.0,11.1
日本食以外の料理を楽しむ,1.1,1.3,1.2,1.7,1.3,1.9,2.0,0.7,3.8,0.6,0.1,0.2,0.5,2.2,0.2,0.0,0.4,2.1,0.0,1.0,0.0,0.0,0.0,1.4
電気製品のショッピング,0.3,21.5,1.9,0.0,0.9,1.2,0.6,2.0,0.0,1.6,1.0,0.1,0.0,0.0,0.0,0.0,0.7,0.9,3.0,0.0,0.0,0.0,0.0,0.0
服・服飾雑貨のショッピング,5.1,6.3,28.2,1.4,42.2,23.2,2.0,11.7,15.6,12.2,5.2,1.6,0.0,0.8,3.4,5.5,6.6,4.4,4.6,3.1,0.0,0.0,0.0,6.5
日用雑貨、化粧品、食品、菓子類のショッピング,6.4,9.7,31.8,3.2,14.6,12.6,4.1,20.5,16.6,19.3,13.6,1.5,2.9,5.0,6.8,0.0,7.4,5.4,0.0,0.0,0.0,0.0,0.0,4.0
その他のショッピング,2.1,14.0,5.2,0.0,5.2,6.7,1.8,4.8,9.3,10.8,3.2,1.7,1.3,0.4,2.2,13.7,4.3,0.4,0.0,0.0,0.0,0.0,0.0,1.9
伝統文化の見学,0.5,0.1,0.4,0.9,0.7,0.1,0.2,0.5,0.0,0.0,0.3,2.0,6.6,0.7,0.4,0.0,0.1,3.2,0.0,2.1,0.0,0.0,0.0,0.0
伝統文化の体験,0.1,0.1,0.2,0.6,0.2,0.5,0.0,0.5,0.0,0.2,0.9,1.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伝統建築の見学,5.2,0.6,0.2,3.4,9.2,2.0,2.8,1.3,0.9,1.1,6.0,69.6,2.2,1.5,0.8,0.0,0.1,4.3,2.8,1.8,8.6,0.0,0.0,7.1
最新の日本文化に触れる,2.8,25.8,0.3,1.6,1.7,1.4,2.5,1.5,1.7,8.5,0.2,0.4,0.0,0.5,0.7,0.0,3.3,6.4,0.0,0.0,0.0,0.0,2.1,5.3
高層ビル、近代的な街並み・景観・建築物の探索,25.5,4.3,6.2,1.7,8.8,18.7,12.0,8.5,12.2,4.4,5.0,4.3,57.7,16.8,7.2,0.0,5.8,4.3,3.5,4.4,0.0,0.0,5.1,5.7
美術館・博物館の探索,0.6,0.0,0.2,0.5,1.2,0.2,10.0,0.4,4.5,1.1,16.5,0.4,11.0,0.0,0.0,0.0,5.8,36.3,4.3,0.0,11.8,12.6,1.5,1.0
水辺などの探索,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.6,0.0,0.2,2.0,1.1,0.0,0.0,37.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0
自然を感じる,1.1,0.0,0.2,0.0,1.8,0.2,0.3,1.1,3.5,0.0,11.4,0.4,0.7,0.0,1.4,0.0,2.6,12.2,43.8,68.3,64.8,78.2,77.1,2.5
テーマパーク、レジャー施設で遊ぶ,0.5,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.3,6.8,0.3,1.7,0.0,4.4,0.0,3.5,0.9,0.0,0.0,0.0,0.0,0.0,1.7
室内型アミューズメント施設で遊ぶ,0.0,4.5,0.1,0.0,0.3,0.4,0.0,0.8,0.0,1.0,0.3,0.0,0.8,0.0,0.2,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,1.2
スポーツをする・観戦する,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,4.4
スパ・エステ,0.5,0.0,0.1,0.0,0.1,0.1,0.2,0.3,2.8,0.3,0.2,0.1,0.0,1.6,2.1,0.0,1.7,0.0,0.0,0.0,0.0,0.0,4.4,0.0
宿泊施設での滞在を楽しむ,4.9,2.2,5.5,2.0,0.5,5.3,8.8,11.6,2.3,15.1,9.7,7.9,4.6,11.5,25.8,24.2,4.6,1.8,10.4,3.9,0.0,0.0,6.8,12.3
ナイトライフを楽しむ,0.9,0.3,1.6,0.0,0.5,3.3,17.0,8.6,2.1,0.9,0.5,0.0,0.0,2.9,0.7,0.0,0.4,0.5,0.0,2.0,0.0,0.0,0.0,0.0
夜景・ライトアップを楽しむ,1.4,0.2,0.3,0.0,0.5,1.2,8.9,1.1,0.7,0.0,0.9,0.7,2.7,2.8,2.0,0.0,3.5,0.0,0.0,0.7,0.0,0.0,0.0,0.4
その他,7.7,1.0,0.9,0.0,1.7,2.0,5.7,5.4,3.4,4.5,1.8,0.3,1.3,6.6,18.7,14.6,3.7,2.9,8.9,3.7,0.0,9.2,2.9,26.0
無回答,1.0,1.3,0.6,0.9,0.5,0.7,1.2,0.5,1.8,0.8,0.4,0.7,0.0,1.8,0.2,0.0,0.5,0.7,5.6,1.8,14.8,0.0,0.0,7.7
合計,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
標本数,561,992,"1,423",190,740,"1,087",387,"1,498",111,276,746,"1,273",140,118,172,14,805,112,36,68,7,15,30,143
