,大変満足,満足,やや満足,普通,やや不満,不満,大変不満,無回答,合計,標本数
全体,45.7,44.5,5.2,3.6,0.3,0.1,0.1,0.3,100,"12,797"
韓国,21.4,52.4,11.1,13.3,1.1,0.5,0.1,0.2,100,"1,917"
台湾,46.2,49.1,2.8,1.2,0.1,0.0,0.1,0.6,100,"1,819"
中国,44.0,47.3,6.6,1.6,0.2,0.0,0.0,0.2,100,"2,561"
香港,40.9,53.6,3.7,1.3,0.1,0.0,0.2,0.2,100,926
タイ,60.0,34.7,1.6,2.7,0.3,0.0,0.0,0.6,100,742
シンガポール,43.2,53.1,1.8,1.1,0.0,0.5,0.0,0.2,100,330
マレーシア,36.4,55.5,3.2,2.9,0.2,0.0,1.2,0.6,100,278
米国,75.4,22.7,1.1,0.0,0.0,0.0,0.3,0.5,100,"1,211"
カナダ,76.0,21.7,0.7,1.1,0.5,0.0,0.0,0.0,100,272
英国,71.2,26.0,1.3,0.0,0.0,0.4,0.7,0.3,100,300
ドイツ,65.5,28.4,0.8,3.3,0.0,0.0,0.6,1.3,100,196
フランス,72.1,26.3,0.8,0.3,0.0,0.0,0.4,0.0,100,264
イタリア,61.8,32.0,2.1,2.1,0.3,1.1,0.6,0.0,100,196
スペイン,70.2,25.6,2.1,0.5,0.0,0.0,0.5,1.2,100,208
オーストラリア,75.1,21.7,1.4,1.2,0.0,0.2,0.3,0.2,100,424
インド,63.4,33.0,2.4,0.6,0.0,0.0,0.6,0.0,100,173
インドネシア,59.1,36.0,3.8,0.4,0.0,0.5,0.0,0.2,100,323
フィリピン,78.9,18.5,1.0,0.6,0.0,0.0,0.6,0.4,100,293
ベトナム,54.4,34.0,6.8,3.2,0.0,0.0,1.0,0.5,100,190
ロシア,65.1,23.2,5.0,2.2,0.0,0.6,2.1,1.9,100,164
その他,59.7,33.3,0.0,6.9,0.0,0.0,0.0,0.0,100,10
