,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体,3.4,32.7,31.2,18.1,9.2,3.5,0.9,1.0,100,"12,797"
韓国,3.8,35.3,25.9,19.2,10.1,3.6,0.7,1.4,100,"1,917"
台湾,3.4,29.7,31.2,21.6,9.3,3.9,0.7,0.2,100,"1,819"
中国,3.4,34.8,36.6,15.8,6.3,2.1,0.3,0.6,100,"2,561"
香港,3.6,30.0,24.1,20.3,15.2,5.4,0.4,0.9,100,926
タイ,3.2,29.2,36.3,19.6,6.8,2.8,0.4,1.7,100,742
シンガポール,4.5,22.8,23.8,26.3,14.8,5.6,0.8,1.3,100,330
マレーシア,2.9,23.6,36.0,20.7,11.6,3.5,1.3,0.3,100,278
米国,3.4,30.6,28.1,15.1,12.5,5.5,1.7,3.0,100,"1,211"
カナダ,2.1,38.5,20.9,15.0,11.2,8.6,2.0,1.7,100,272
英国,2.5,32.0,24.8,13.7,16.2,6.5,2.0,2.3,100,300
ドイツ,3.0,36.6,28.5,15.9,10.3,3.2,0.5,1.9,100,196
フランス,4.6,39.2,25.4,11.3,9.5,5.4,3.1,1.6,100,264
イタリア,1.5,30.9,36.6,14.4,8.5,3.6,0.6,4.1,100,196
スペイン,1.4,33.9,31.2,18.6,9.5,4.0,0.0,1.4,100,208
オーストラリア,5.7,34.8,20.5,11.4,11.6,9.1,5.5,1.4,100,424
インド,4.1,26.7,39.8,17.8,8.6,1.2,0.6,1.2,100,173
インドネシア,3.2,33.8,30.7,19.6,7.7,2.9,0.3,1.8,100,323
フィリピン,3.0,32.3,30.9,18.7,11.2,2.9,0.0,1.1,100,293
ベトナム,3.8,21.4,41.5,19.3,6.3,4.7,0.5,2.6,100,190
ロシア,3.5,28.5,42.4,15.6,5.6,2.8,0.0,1.6,100,164
その他,0.0,36.1,33.3,16.7,6.9,0.0,6.9,0.0,100,10
