,人が親切,おもてなしの心がある,治安がよい,衛生的,先進的都市,自然・景勝地・夜景,伝統・文化,都市として多様な魅力がある,魅力的な繁華街が多い,魅力的な宿泊施設が多い,魅力的なテーマパーク等が多い,バリアフリー環境が整っている,ハイテク産業が多い,ビジネス環境が整っている,交通網が発達している,食事がおいしい,食事の種類が豊富である,観光案内所等が充実している,芸術が魅力的である,建造物が魅力的である,ファッション関係が魅力的である,ポップカルチャーが魅力的である,スポーツが魅力的である,商品が信頼できる、豊富で品質がよい,ナイトライフ観光が魅力的である,その他,具体的なイメージがない,無回答,標本数
全体,55.9,34.1,51.0,60.6,31.8,18.6,24.0,16.4,14.8,5.8,8.0,4.5,5.4,5.4,22.7,35.2,14.0,4.8,5.6,6.8,8.0,8.2,1.1,13.3,4.7,0.3,0.4,-,"12,797"
韓国,59.4,10.7,39.8,49.3,20.2,9.5,14.5,23.2,16.2,8.0,6.5,0.8,2.2,10.2,24.9,43.0,28.5,5.0,4.4,11.2,8.7,7.7,0.8,13.5,3.2,0.9,1.8,0.2,"1,917"
台湾,43.4,33.2,53.7,58.5,45.3,24.7,22.6,15.0,14.1,5.3,12.2,4.2,4.1,3.5,31.8,31.2,10.5,7.2,4.3,6.2,7.1,9.8,1.6,11.6,2.9,0.2,0.1,0.3,"1,819"
中国,51.4,37.0,52.6,76.1,31.6,16.0,21.2,14.8,13.6,4.0,5.8,8.2,6.5,6.5,24.4,20.4,7.6,3.3,6.4,4.7,7.4,7.6,0.6,18.5,3.8,0.1,0.2,0.4,"2,561"
香港,59.1,31.4,53.7,65.0,30.4,25.8,27.7,9.4,10.1,5.1,11.6,3.3,6.1,1.8,21.4,48.2,15.6,4.3,4.6,4.5,8.4,9.1,1.6,14.5,3.2,0.1,0.1,0.2,926
タイ,62.6,34.6,57.3,43.0,43.5,30.0,21.0,18.7,16.6,9.0,14.1,6.4,6.4,2.3,21.1,36.0,12.1,4.3,8.3,5.9,9.5,6.5,1.1,18.5,4.8,0.2,0.0,0.6,742
シンガポール,65.0,45.5,50.3,60.7,31.3,28.3,27.0,9.2,24.0,4.9,8.6,1.6,5.1,1.7,10.0,55.2,18.2,8.7,3.9,4.6,10.6,5.9,1.0,12.8,5.2,0.8,0.0,0.4,330
マレーシア,62.8,37.0,44.7,57.6,36.4,23.6,29.8,11.8,22.8,8.7,7.0,3.4,9.8,3.6,14.6,37.8,13.0,5.6,7.6,5.7,5.7,4.5,1.1,8.1,6.1,0.3,0.8,1.1,278
米国,66.9,46.8,54.9,44.7,29.5,22.8,45.1,17.1,16.6,9.1,8.2,2.6,7.6,4.5,12.2,55.0,16.9,4.6,6.6,9.0,7.4,12.2,1.9,4.9,9.3,0.4,0.2,0.4,"1,211"
カナダ,70.6,43.7,54.6,49.7,30.9,17.6,46.5,18.7,17.0,9.1,8.5,2.8,6.8,1.7,15.5,58.7,16.1,4.9,7.1,11.4,7.1,13.1,1.5,5.7,12.5,0.9,0.0,0.0,272
