,成田,羽田,関西,その他,無回答,合計,標本数
全体,60.9,25.8,9.7,2.7,0.9,100,"12,797"
韓国,67.4,29.3,1.6,1.1,0.7,100,"1,917"
台湾,77.9,17.6,2.0,1.6,0.9,100,"1,819"
中国,41.2,30.2,22.9,4.5,1.2,100,"2,561"
香港,75.1,20.0,2.4,1.2,1.3,100,926
タイ,76.2,16.4,3.7,1.8,1.9,100,742
シンガポール,44.6,45.6,8.0,0.9,0.9,100,330
マレーシア,78.0,4.4,15.9,0.6,1.1,100,278
米国,66.0,28.0,4.8,0.9,0.3,100,"1,211"
カナダ,57.0,38.0,3.2,1.2,0.7,100,272
英国,46.3,46.8,6.2,0.3,0.4,100,300
ドイツ,50.1,42.6,6.0,1.2,0.0,100,196
フランス,45.5,46.9,5.3,1.9,0.3,100,264
イタリア,63.0,27.2,8.0,0.0,1.8,100,196
スペイン,55.7,31.8,9.2,1.4,1.9,100,208
オーストラリア,68.6,19.9,9.7,1.5,0.3,100,424
インド,91.8,3.0,2.4,0.5,2.4,100,173
インドネシア,54.9,36.3,6.3,2.1,0.3,100,323
フィリピン,74.4,22.2,2.7,0.7,0.0,100,293
ベトナム,52.9,28.1,10.8,6.7,1.5,100,190
ロシア,95.7,3.5,0.8,0.0,0.0,100,164
その他,73.6,6.9,6.9,12.6,0.0,100,10
