,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体,43.3,18.4,10.3,15.8,11.9,0.3,100,"12,797"
韓国,34.2,17.7,11.7,17.2,18.8,0.3,100,"1,917"
台湾,28.7,21.3,13.7,22.4,13.4,0.5,100,"1,819"
中国,51.7,17.4,8.7,13.3,8.7,0.1,100,"2,561"
香港,19.7,19.7,15.7,24.9,19.5,0.4,100,926
タイ,41.5,21.1,14.7,16.3,6.0,0.3,100,742
シンガポール,30.2,21.1,15.4,18.5,14.0,0.7,100,330
マレーシア,51.2,23.1,7.1,12.5,6.1,0.0,100,278
米国,60.9,13.7,7.4,8.7,9.2,0.2,100,"1,211"
カナダ,67.0,14.8,3.9,8.2,5.8,0.3,100,272
英国,59.0,13.9,6.5,10.5,10.1,0.0,100,300
ドイツ,55.1,15.9,5.7,15.8,7.5,0.0,100,196
フランス,57.2,21.0,4.7,9.6,7.0,0.4,100,264
イタリア,64.4,15.1,8.2,8.4,4.0,0.0,100,196
スペイン,78.8,10.2,4.2,5.2,1.5,0.0,100,208
オーストラリア,58.7,19.4,7.4,9.2,5.1,0.2,100,424
インド,61.0,13.9,5.1,11.4,7.5,1.1,100,173
インドネシア,52.8,18.7,11.0,11.9,5.7,0.0,100,323
フィリピン,56.6,19.4,8.3,11.0,4.3,0.3,100,293
ベトナム,61.1,15.2,3.1,12.3,8.2,0.0,100,190
ロシア,54.4,17.7,6.9,14.4,6.6,0.0,100,164
その他,56.9,19.5,0.0,6.9,16.7,0.0,100,10
