,訪問した,訪問しなかった,合計,標本数
全体,88.8,11.2,100,"14,662"
韓国,89.3,10.7,100,"2,175"
台湾,91.1,8.9,100,"1,997"
中国,91.4,8.6,100,"2,802"
香港,92.7,7.3,100,"1,000"
タイ,89.1,10.9,100,838
シンガポール,90.1,9.9,100,367
マレーシア,92.0,8.0,100,303
米国,76.7,23.3,100,"1,580"
カナダ,88.0,12.0,100,308
英国,90.0,10.0,100,335
ドイツ,80.9,19.1,100,242
フランス,80.9,19.1,100,325
イタリア,86.1,13.9,100,229
スペイン,92.8,7.2,100,225
オーストラリア,88.9,11.1,100,485
インド,78.8,21.2,100,220
インドネシア,84.2,15.8,100,381
フィリピン,78.5,21.5,100,380
ベトナム,77.7,22.3,100,243
ロシア,76.5,23.5,100,215
その他,79.9,20.1,100,12
