,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体,8.0,11.4,80.6,0,100,"12,797"
韓国,4.0,2.1,93.9,0,100,"1,917"
台湾,9.7,17.8,72.5,0,100,"1,819"
中国,13.7,15.9,70.3,0,100,"2,561"
香港,1.8,10.3,87.9,0,100,926
タイ,10.8,15.6,73.6,0,100,742
シンガポール,1.0,2.7,96.3,0,100,330
マレーシア,8.9,14.2,76.9,0,100,278
米国,2.6,3.5,93.8,0,100,"1,211"
カナダ,0.0,4.7,95.3,0,100,272
英国,2.2,4.9,92.8,0,100,300
ドイツ,1.7,2.7,95.7,0,100,196
フランス,2.6,6.8,90.5,0,100,264
イタリア,7.4,10.8,81.7,0,100,196
スペイン,5.3,6.3,88.4,0,100,208
オーストラリア,3.2,10.8,86.0,0,100,424
インド,4.7,1.8,93.5,0,100,173
インドネシア,7.9,9.9,82.1,0,100,323
フィリピン,7.2,4.6,88.2,0,100,293
ベトナム,5.5,27.7,66.8,0,100,190
ロシア,2.0,1.6,96.4,0,100,164
その他,0.0,6.9,93.1,0,100,10
