,成田,羽田,關西,其他,無回答,合計,標本數
全體,60.9,25.8,9.7,2.7,0.9,100,"12,797"
韓國,67.4,29.3,1.6,1.1,0.7,100,"1,917"
台灣,77.9,17.6,2.0,1.6,0.9,100,"1,819"
中國,41.2,30.2,22.9,4.5,1.2,100,"2,561"
香港,75.1,20.0,2.4,1.2,1.3,100,926
泰國,76.2,16.4,3.7,1.8,1.9,100,742
新加坡,44.6,45.6,8.0,0.9,0.9,100,330
馬來西亞,78.0,4.4,15.9,0.6,1.1,100,278
美國,66.0,28.0,4.8,0.9,0.3,100,"1,211"
加拿大,57.0,38.0,3.2,1.2,0.7,100,272
英國,46.3,46.8,6.2,0.3,0.4,100,300
德國,50.1,42.6,6.0,1.2,0.0,100,196
法國,45.5,46.9,5.3,1.9,0.3,100,264
意大利,63.0,27.2,8.0,0.0,1.8,100,196
西班牙,55.7,31.8,9.2,1.4,1.9,100,208
澳大利亞,68.6,19.9,9.7,1.5,0.3,100,424
印度,91.8,3.0,2.4,0.5,2.4,100,173
印尼,54.9,36.3,6.3,2.1,0.3,100,323
菲律賓,74.4,22.2,2.7,0.7,0.0,100,293
越南,52.9,28.1,10.8,6.7,1.5,100,190
俄羅斯,95.7,3.5,0.8,0.0,0.0,100,164
其他,73.6,6.9,6.9,12.6,0.0,100,10
