,非常滿意,滿意,有點滿意,普通,有點不滿,不滿,非常不滿,無回答,合計,樣本數  
全體,45.7,44.5,5.2,3.6,0.3,0.1,0.1,0.3,100,"12,797"  
韓國,21.4,52.4,11.1,13.3,1.1,0.5,0.1,0.2,100,"1,917"  
台灣,46.2,49.1,2.8,1.2,0.1,0.0,0.1,0.6,100,"1,819"  
中國,44.0,47.3,6.6,1.6,0.2,0.0,0.0,0.2,100,"2,561"  
香港,40.9,53.6,3.7,1.3,0.1,0.0,0.2,0.2,100,926  
泰國,60.0,34.7,1.6,2.7,0.3,0.0,0.0,0.6,100,742  
新加坡,43.2,53.1,1.8,1.1,0.0,0.5,0.0,0.2,100,330  
馬來西亞,36.4,55.5,3.2,2.9,0.2,0.0,1.2,0.6,100,278  
美國,75.4,22.7,1.1,0.0,0.0,0.0,0.3,0.5,100,"1,211"  
加拿大,76.0,21.7,0.7,1.1,0.5,0.0,0.0,0.0,100,272  
英國,71.2,26.0,1.3,0.0,0.0,0.4,0.7,0.3,100,300  
德國,65.5,28.4,0.8,3.3,0.0,0.0,0.6,1.3,100,196  
法國,72.1,26.3,0.8,0.3,0.0,0.0,0.4,0.0,100,264  
義大利,61.8,32.0,2.1,2.1,0.3,1.1,0.6,0.0,100,196  
西班牙,70.2,25.6,2.1,0.5,0.0,0.0,0.5,1.2,100,208  
澳洲,75.1,21.7,1.4,1.2,0.0,0.2,0.3,0.2,100,424  
印度,63.4,33.0,2.4,0.6,0.0,0.0,0.6,0.0,100,173  
印尼,59.1,36.0,3.8,0.4,0.0,0.5,0.0,0.2,100,323  
菲律賓,78.9,18.5,1.0,0.6,0.0,0.0,0.6,0.4,100,293  
越南,54.4,34.0,6.8,3.2,0.0,0.0,1.0,0.5,100,190  
俄羅斯,65.1,23.2,5.0,2.2,0.0,0.6,2.1,1.9,100,164  
其他,59.7,33.3,0.0,6.9,0.0,0.0,0.0,0.0,100,10  
