,男性,女性,無回答,合計,樣本數
全體,52.7,46.5,0.8,100,"12,797"
韓國,62.8,35.8,1.5,100,"1,917"
台灣,48.3,51.6,0.1,100,"1,819"
中國,47.2,52.5,0.3,100,"2,561"
香港,49.2,49.8,1.0,100,926
泰國,38.5,58.8,2.7,100,742
新加坡,54.0,44.0,2.0,100,330
馬來西亞,48.0,51.4,0.6,100,278
美國,61.8,36.8,1.5,100,"1,211"
加拿大,63.2,36.5,0.3,100,272
英國,65.2,33.9,1.0,100,300
德國,71.6,28.0,0.4,100,196
法國,67.6,31.9,0.4,100,264
義大利,62.4,35.5,2.1,100,196
西班牙,66.2,32.6,1.2,100,208
澳大利亞,61.5,37.7,0.9,100,424
印度,81.4,18.0,0.6,100,173
印尼,53.3,45.9,0.8,100,323
菲律賓,41.5,58.2,0.3,100,293
越南,55.9,42.0,2.0,100,190
俄羅斯,53.7,44.7,1.6,100,164
其他,63.9,36.1,0.0,100,10
