,1次,2次,3次,4～9次,10次以上,無回答,合計,標本數
全體,43.3,18.4,10.3,15.8,11.9,0.3,100,"12,797"
韓國,34.2,17.7,11.7,17.2,18.8,0.3,100,"1,917"
台灣,28.7,21.3,13.7,22.4,13.4,0.5,100,"1,819"
中國,51.7,17.4,8.7,13.3,8.7,0.1,100,"2,561"
香港,19.7,19.7,15.7,24.9,19.5,0.4,100,926
泰國,41.5,21.1,14.7,16.3,6.0,0.3,100,742
新加坡,30.2,21.1,15.4,18.5,14.0,0.7,100,330
馬來西亞,51.2,23.1,7.1,12.5,6.1,0.0,100,278
美國,60.9,13.7,7.4,8.7,9.2,0.2,100,"1,211"
加拿大,67.0,14.8,3.9,8.2,5.8,0.3,100,272
英國,59.0,13.9,6.5,10.5,10.1,0.0,100,300
德國,55.1,15.9,5.7,15.8,7.5,0.0,100,196
法國,57.2,21.0,4.7,9.6,7.0,0.4,100,264
意大利,64.4,15.1,8.2,8.4,4.0,0.0,100,196
西班牙,78.8,10.2,4.2,5.2,1.5,0.0,100,208
澳大利亞,58.7,19.4,7.4,9.2,5.1,0.2,100,424
印度,61.0,13.9,5.1,11.4,7.5,1.1,100,173
印尼,52.8,18.7,11.0,11.9,5.7,0.0,100,323
菲律賓,56.6,19.4,8.3,11.0,4.3,0.3,100,293
越南,61.1,15.2,3.1,12.3,8.2,0.0,100,190
俄羅斯,54.4,17.7,6.9,14.4,6.6,0.0,100,164
其他,56.9,19.5,0.0,6.9,16.7,0.0,100,10
